"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.982136340412434","0.937815051493395","0.90259939756193","0.904580639037715","0.906339598700025","0.926339289408563","0.936868599615365","0.957668495768107","0.958016911019618","0.896762062622836","0.886253682477178","0.95424320692125","0.956164399242032","0.982878379361328","1.02766437578895","1.00285715118919","0.99133453878279","1.00782238957389","1.04752625799657","0.98533507675895","1.01180671779076","0.970187522656224","0.983547239181253","0.995664910620022","1.00693765045541","0.956703663086829","0.938564717748011","0.928507991370632","0.90809351757865","0.903764110583573","","",
"Afghanistan","AFG","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2225381391099","0.207535164413917","0.115281586055672","0.0956885864939131","0.0834651359980279","0.0755226655700451","0.0689792445545125","0.0618365952231005","0.0562370938573304","0.0420498589850192","0.0388886404336861","0.037077233197309","0.0490470197787003","0.0538747195803349","0.0437301352730113","0.063495466170261","0.0691743844762328","0.0683310586911881","0.134709695975708","0.178197750875713","0.252220037661822","0.305307954864333","0.265209508578463","0.189910278046671","0.149161535350241","0.176278015184889","0.15301907020982","0.134106112096442","0.165454681763912","0.160976451493467","","",
"Africa Western and Central","AFW","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.473668662031144","0.525418075603017","0.563117533427227","0.518770416101305","0.466820830500474","0.497312416556454","0.559529151179489","0.54499907745344","0.510473912713849","0.506915750862876","0.525718638722687","0.539255115068025","0.497135791121823","0.515363018069452","0.501186260829957","0.501186433220843","0.467292227705739","0.435300409162516","0.449221636010211","0.423464619292407","0.464418917562708","0.46871776341901","0.472242411645039","0.499219330100904","0.506917708404874","0.485477551312086","0.490806599745244","0.474881977788224","0.478304570011211","0.485883896346851","","",
"Angola","AGO","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.55458625075854","0.545438591914703","0.544626652492652","0.710983895869621","0.839397859060048","0.914301946636537","1.073463414295","1.08666810210861","1.09130919620295","1.1095881840011","0.988162665238182","0.942060504721311","0.895745322664047","0.924723238442631","0.929619336237945","0.812813415503919","0.821333211618413","0.811585642009439","0.88882655106661","0.939679489694506","0.975852538278588","0.98396024649186","0.947662542550856","1.03109331939749","1.0922158317617","1.1252244580544","1.02076005837546","0.802750790270912","0.766143022103473","0.77920257513549","","",
"Albania","ALB","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.81954163372931","1.24281022043045","0.683699826210896","0.638307036219586","0.645355188531009","0.605436252895428","0.612367358547086","0.466921472384454","0.572153695185918","0.955359308384195","1.026213108529","1.05549588209555","1.23237878291558","1.3389849808862","1.40405868767094","1.33820939947885","1.33999573904164","1.3939313702533","1.38431124871868","1.44149356167856","1.52762366260495","1.66942319005525","1.50324046003101","1.53363003912154","1.66833737091547","1.60377514987108","1.55766435847472","1.78878607422544","1.78273894754715","1.69224831964856","","",
"Andorra","AND","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.65368030017361","7.39618284807158","7.15744636279524","6.93082696598823","6.71723708570211","6.83320620391559","7.01513710695746","7.26631829566185","7.5169514926518","7.76787754169523","7.86722544139674","7.6673547626069","7.48069798288996","7.17117419716361","7.27906103212127","7.2658029127189","6.85606028248126","6.90819800247764","7.10012519173851","7.04110898725172","7.27079490661942","6.94375571494811","6.90014517816094","6.72579748723029","6.42269737011002","6.55088783775969","6.47918388210514","6.36537235813897","6.53220121227978","6.54938894201171","","",
"Arab World","ARB","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.8156853105954","2.76520409231684","2.92858066974484","3.07017397402571","3.16764665961469","3.18522911798613","3.22052654502544","3.29945028880342","3.24268287144031","3.21262379534007","3.27169287663677","3.37655893340988","3.41574355265764","3.44373300812256","3.55175070393635","3.70759995136594","3.80829941435622","3.86110609283683","4.0621168131006","4.09086940342576","4.23067975148659","4.22955192886383","4.4265548625329","4.40414439530663","4.45299288222857","4.47256064641059","4.42953744751299","4.38671865218277","4.24668084288289","4.27260846110939","","",
"United Arab Emirates","ARE","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.055585582409","30.6515241365815","28.2105308919489","28.6153275964744","30.3904124646204","30.8834718987933","30.523936588883","29.6563987212499","28.5677118101557","27.6604543636401","25.8691253683213","28.1396723638888","27.2865755075479","27.2247414462007","27.5483754663028","27.2039685849692","24.8134596811062","22.4482278843418","22.328950732757","19.6455646307356","19.1929248368216","19.3114923903879","20.2643536679578","21.0778366235953","20.9100293230277","21.8955048714989","22.3564734354616","21.7284474708515","19.3781969586326","20.5022832059804","","",
"Argentina","ARG","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.07375005503612","3.19944294895121","3.21523723955513","3.24034508822931","3.24483129196882","3.23040246825755","3.46290503909056","3.52133409980704","3.66155951745354","3.66981928452247","3.56803987960974","3.34200513317688","3.10069722584613","3.33506078457966","3.65617809467905","3.73657879363165","3.92381838907273","4.08289558524386","4.15233040959089","3.84840985551293","4.09968971416256","4.2809893532601","4.26422378235981","4.34211506853729","4.20909563279429","4.30191387639872","4.20184577616112","4.07130836193664","3.97577197057929","3.74065029063396","","",
